,fare_prediction
0,10.913405109447744
1,11.099086164339433
2,11.102333647862366
3,10.814723352875143
4,10.984446206067444
5,10.934342322350064
6,11.270043651737703
7,11.48615701255251
8,11.00156101253218
9,11.107844731937394
10,11.472253967548328
11,11.387355605115879
12,11.04905831893411
13,11.416888365912634
14,10.792262103696663
15,10.74857333455213
16,11.812968295943115
17,10.843952182374347
18,10.96837384477924
19,10.942480850620115
20,10.990641628533986
21,12.29855944610348
22,11.356776951550476
23,10.532865296158358
24,11.737014463362293
25,11.202519666064868
26,11.555515755556662
27,11.479213361978704
28,11.60480100950781
29,11.784153685849745
30,11.175764409010261
31,11.232478783291082
32,11.360586479848893
33,11.60031521641206
34,10.836901414722739
35,11.312983546924928
36,11.291179661132809
37,10.949584241679863
38,11.216206853827192
39,11.281381399043521
40,12.069462824430296
41,11.245117944615124
42,11.024250937291491
43,12.367636129151101
44,11.60579933845164
45,11.460275332129227
46,12.836679241276212
47,11.17347883039856
48,11.188504305010222
49,10.662078191821642
50,11.123331009817173
51,13.98404864149522
52,11.157932412030892
53,11.118939811326282
54,11.181140751245747
55,11.232362259256599
56,12.540390138398015
57,11.616654828937172
58,10.663520886392067
59,10.978716197581884
60,11.076767760981177
61,11.196430594255398
62,11.55627233003551
63,11.516937510658403
64,12.2343969297151
65,11.560477369531736
66,11.540729906787746
67,11.514862900588355
68,11.27960522421523
69,10.945766062648179
70,11.33755449967169
71,11.292769004714275
72,11.194246265164676
73,11.133484950073388
74,11.462537825274765
75,10.586619630320158
76,11.538774841737773
77,11.199256424058579
78,11.4079873046459
79,12.440562832511048
80,11.725847094809627
81,11.203055768434542
82,11.270112494924277
83,11.218120297832586
84,11.011601778732667
85,11.103317380728502
86,11.954063559379602
87,11.42207613000279
88,11.158964076704972
89,13.100754924577378
90,11.233450318512862
91,11.424342471929632
92,11.315513761818947
93,11.05767477690652
94,11.008261222755214
95,11.390076708346054
96,11.678044422213594
97,11.561138550387426
98,11.7743580482324
99,10.847327708682192
100,10.649891212769983
101,11.00810666165738
102,11.97604703363869
103,10.76060971205667
104,11.616816267273553
105,11.028572275781928
106,11.120187051660263
107,11.839228987187976
108,12.270189775511746
109,11.950291608553288
110,11.030637207479339
111,11.63468410430492
112,11.563765736826232
113,11.220364755498188
114,12.191368969877976
115,11.106245222947
116,11.694954496572427
117,11.123953571312395
118,12.409795923622442
119,11.274475774883616
120,10.86433695549431
121,11.24855945434438
122,10.971788118630766
123,11.625646506781528
124,10.4131507834726
125,10.970735280393537
126,10.91935114486266
127,11.56811188723088
128,11.28196559555351
129,11.669849528062475
130,10.958489762755907
131,11.402729435557672
132,10.586060711977579
133,11.175505155334152
134,11.787071050308086
135,10.95399852862296
136,10.896000248775145
137,11.035081821797844
138,11.378153193924653
139,11.665273355848086
140,22.409636941833348
141,10.962021459427536
142,11.786363658045
143,12.770468696321752
144,10.773897671160526
145,11.278217938249133
146,11.099578624770498
147,11.218407946414187
148,10.872120513513549
149,10.987436204511615
150,11.270748871298979
151,11.108241543923887
152,11.322361804267752
153,10.734329147544159
154,9.277251344422599
155,11.31016528486447
156,11.219740671870696
157,11.858974677481806
158,12.358772618146784
159,11.419083877474261
160,11.11565337316519
161,11.541491653534456
162,11.82071555078149
163,11.420603408129193
164,11.333636215569813
165,11.478599470406923
166,11.875799205318897
167,11.477795265835733
168,10.944505528832895
169,10.956887576156078
170,11.03656426015053
171,9.975824646627688
172,10.842064253320045
173,11.615141002734697
174,11.411809470262755
175,11.376383075814882
176,11.579573758053186
177,11.190780991596728
178,10.719077900284015
179,11.682808976062969
180,11.652542277774838
181,10.938980417432086
182,11.412155931488762
183,10.479262824549567
184,11.391742613382547
185,11.133343188230675
186,10.767422221585415
187,11.676986445471462
188,10.718770818765785
189,10.930934991066529
190,11.012072992167397
191,10.643897404704916
192,11.777071484292142
193,11.429431173662316
194,10.755469323249091
195,11.019244825350055
196,11.593202962553306
197,12.825221485791666
198,11.545635919233305
199,11.911950050319557
200,12.937306765906095
201,11.668079396482971
202,10.792639222111644
203,11.22797437689726
204,10.738959973140684
205,11.162635857818342
206,10.61995847689938
207,11.130591714077568
208,11.698177555070485
209,10.851625908445387
210,11.552473974470367
211,11.909736577198998
212,12.436898716132655
213,11.430562479397786
214,12.033180499185018
215,10.59217945375796
216,10.47667464494677
217,10.843859390352238
218,11.01642519618221
219,10.939684379646549
220,11.207078852359368
221,12.036943008623256
222,11.311092489223956
223,11.948599654037617
224,11.608863207933751
225,11.371002710733988
226,11.13369594008226
227,11.20929736827455
228,11.436365570071107
229,11.596643153008136
230,10.56943999486886
231,10.827334970479523
232,11.552357968497788
233,10.828721927701919
234,12.12359272284535
235,11.780335719520862
236,11.067360853024567
237,11.026334622502949
238,11.777091774475183
239,11.620448476780552
240,11.015390399587423
241,12.621279662054754
242,10.717807763663055
243,11.018426089875092
244,10.72424913568967
245,11.519771429778055
246,11.35597147606697
247,11.464557324720936
248,11.90793632880639
249,10.743837595593282
250,11.283675303797724
251,11.056490360326052
252,10.437544204640265
253,11.283448337417834
254,11.230070838010828
255,11.319444321655023
256,11.64550262931686
257,10.685054902647277
258,10.889580381778055
259,12.083586587450172
260,10.724846689602611
261,10.589298519131184
262,11.820250767522639
263,11.765990524018163
264,11.213270833852981
265,11.167297137303871
266,11.156107672145087
267,10.83128567678086
268,11.265285176236446
269,12.140762654132134
270,11.369367604442655
271,11.266914874578688
272,11.092035939254327
273,10.9837128547769
274,11.571554990178235
275,11.295562251159243
276,11.182565394102918
277,11.071014969590674
278,11.432890332948737
279,11.22810883329172
280,11.185438817320884
281,11.044472322880694
282,11.071247099084385
283,11.244546669877243
284,10.997327300398029
285,10.935882483248951
286,11.145663423300183
287,11.352374755706633
288,11.373128693588606
289,11.138408058368228
290,10.698609259696335
291,12.00509650390977
292,11.186408843694249
293,10.922328582364482
294,11.04315592315526
295,10.911327068323263
296,12.12053115691936
297,11.089638112003104
298,10.639023099071814
299,11.49067502041849
300,11.351539887655766
301,10.870176036252484
302,11.607348478040509
303,10.541966189179345
304,11.190122985113783
305,11.297200951433885
306,11.337640656148489
307,12.873056305554416
308,10.881324676039151
309,11.256120424699283
310,10.609379378598776
311,11.588653815551785
312,10.88553815952637
313,11.152604129604507
314,11.108154951000925
315,11.25970126642199
316,11.402648033746251
317,11.147090283646275
318,10.891805055144646
319,11.417579099494864
320,11.569144676672193
321,10.499792935215705
322,10.725096949740252
323,11.438645881027249
324,10.631087317702066
325,11.251875433783907
326,10.6826732872593
327,11.504531670484972
328,11.160249207984005
329,12.333903688071848
330,11.43740731760536
331,10.98550823997078
332,11.62848330238717
333,11.704631205104809
334,10.854617518595562
335,11.503531257585697
336,11.169692804965651
337,11.264037171644336
338,11.496766837487751
339,10.717182685689133
340,11.210673325472884
341,11.100331852453388
342,11.207520328532386
343,11.237804606323882
344,11.452158759528574
345,11.041444076940586
346,11.693787127205406
347,11.7900814956161
348,11.533029091125165
349,11.183853859992682
350,10.728132479651537
351,11.667772255872482
352,11.274032951300688
353,11.865486143890148
354,11.062954928348761
355,10.387597297395729
356,10.528258694044835
357,11.828664532331578
358,11.61065647144524
359,11.999586046214507
360,11.219583185783819
361,11.128250848880656
362,12.69676232931282
363,11.048639981929895
364,11.198489675245243
365,11.26177405070142
366,11.068524709216396
367,11.246493028662574
368,12.709154300734712
369,12.47919257185852
370,11.860687339842276
371,11.174271301262497
372,11.569636603603819
373,11.271154730380346
374,11.318199772810692
