,fare_prediction
0,43
1,25
2,54
3,22
4,28
5,204
6,28
7,28
8,64
9,47
10,235
11,43
12,81
13,32
14,32
15,25
16,39
17,56
18,8
19,60
20,30
21,17
22,22
23,8
24,30
25,32
26,30
27,107
28,998
29,118
30,74
31,221
32,81
33,43
34,30
35,107
36,56
37,47
38,81
39,69
40,32
41,20
42,47
43,61
44,25
45,184
46,39
47,22
48,43
49,43
50,38
51,43
52,61
53,96
54,64
55,25
56,14
57,48
58,69
59,86
60,47
61,14
62,32
63,52
64,30
65,184
66,8
67,25
68,64
69,43
70,96
71,52
72,43
73,43
74,43
75,34
76,32
77,240
78,118
79,25
80,14
81,22
82,47
83,234
84,11
85,22
86,332
87,52
88,39
89,43
90,96
91,22
92,22
93,61
94,16
95,25
96,81
97,20
98,48
99,25
100,37
101,30
102,134
103,38
104,101
105,25
106,877
107,28
108,11
109,43
110,48
111,61
112,14
113,32
114,78
115,8
116,64
117,34
118,39
119,86
120,86
121,61
122,17
123,28
124,43
125,107
126,47
127,134
128,35
129,39
130,35
131,25
132,90
133,47
134,32
135,52
136,43
137,28
138,56
139,12
140,22
141,25
142,107
143,134
144,34
145,25
146,71
147,25
148,43
149,32
150,43
151,30
152,48
153,212
154,35
155,71
156,227
157,81
158,25
159,32
160,60
161,43
162,28
163,148
164,64
165,17
166,14
167,16
168,54
169,48
170,61
171,64
172,28
173,43
174,43
175,32
176,32
177,86
178,39
179,69
180,39
181,52
182,22
183,248
184,54
185,35
186,22
187,22
188,248
189,54
190,30
191,25
192,242
193,17
194,11
195,38
196,11
197,32
198,234
199,43
200,114
201,118
202,22
203,28
204,96
205,81
206,184
207,28
208,28
209,78
210,35
211,25
212,47
213,64
214,30
215,22
216,43
217,30
218,60
219,34
220,39
221,60
222,74
223,56
224,48
225,25
226,25
227,90
228,204
229,263
230,113
231,22
232,69
233,25
234,17
235,32
236,56
237,127
238,47
239,272
240,43
241,17
242,28
243,25
244,86
245,508
246,204
247,298
248,28
249,127
250,22
251,96
252,17
253,32
254,30
255,30
256,123
257,96
258,32
259,43
260,38
261,39
262,20
263,73
264,43
265,60
266,127
267,28
268,38
269,16
270,43
271,43
272,47
273,61
274,35
275,25
276,32
277,8
278,43
279,28
280,32
281,52
282,38
283,52
284,52
285,34
286,71
287,22
288,883
289,43
290,71
291,25
292,61
293,43
294,248
295,39
296,56
297,35
298,86
299,141
300,64
301,60
302,28
303,81
304,61
305,38
306,28
307,34
308,34
309,12
310,25
311,220
312,28
313,32
314,39
315,60
316,28
317,54
318,118
319,43
320,11
321,39
322,107
323,96
324,25
325,123
326,39
327,56
328,61
329,52
330,43
331,25
332,32
333,17
334,25
335,332
336,107
337,154
338,64
339,64
340,35
341,90
342,194
343,35
344,35
345,25
346,107
347,28
348,64
349,227
350,68
351,30
352,64
353,69
354,32
355,47
356,25
357,25
358,332
359,28
360,86
361,22
362,54
363,43
364,38
365,43
366,35
367,86
368,81
369,32
370,74
371,28
372,43
373,141
374,101
375,325
376,25
377,25
378,34
379,52
380,74
381,39
382,25
383,14
384,39
385,28
386,43
387,918
388,39
389,52
390,489
391,32
392,43
393,48
394,52
395,43
396,25
397,118
398,43
399,28
400,14
401,32
402,39
403,47
404,32
405,38
406,32
407,54
408,47
409,81
410,87
411,289
412,22
413,393
414,25
415,64
416,189
417,54
418,28
419,52
420,96
421,56
422,14
423,64
424,25
425,64
426,43
427,81
428,25
429,28
430,25
431,64
432,25
433,94
434,28
435,32
436,52
437,47
438,25
439,123
440,25
441,22
442,14
443,38
444,17
445,77
446,184
447,32
448,73
449,22
450,35
451,39
452,22
453,22
454,52
455,60
456,25
457,43
458,520
459,141
460,47
461,43
462,43
463,272
464,34
465,22
466,74
467,39
468,47
469,78
470,43
471,35
472,54
473,35
474,61
475,25
476,25
477,17
478,52
479,34
480,28
481,35
482,60
483,30
484,185
485,25
486,32
487,39
488,86
489,39
490,743
491,48
492,17
493,30
494,25
495,64
496,71
497,17
498,28
499,113
500,118
501,32
502,30
503,38
504,25
505,28
506,32
507,450
508,48
509,132
510,30
511,39
512,73
513,16
514,17
515,17
516,78
517,189
518,39
519,127
520,56
521,56
522,61
523,25
524,68
525,64
526,25
527,17
528,47
529,47
530,39
531,17
532,118
533,64
534,8
535,16
536,69
537,17
538,998
539,25
540,43
541,392
542,25
543,39
544,30
545,25
546,17
547,43
548,35
549,118
550,35
551,54
552,14
553,43
554,113
555,64
556,78
557,64
558,25
559,25
560,25
561,90
562,47
563,799
564,47
565,64
566,90
567,17
568,798
569,17
570,22
571,48
572,298
573,22
574,141
575,101
576,34
577,100
578,22
579,25
580,39
581,74
582,248
583,25
584,8
585,25
586,799
587,22
588,52
589,17
590,90
591,64
592,71
593,38
594,78
595,43
596,14
597,123
598,28
599,43
600,35
601,81
602,96
603,52
604,43
605,35
606,54
607,22
608,25
609,353
610,56
611,32
612,94
613,25
614,60
615,47
616,20
617,35
618,64
619,43
620,204
621,52
622,204
623,71
624,35
625,47
626,48
627,35
628,43
629,300
630,20
631,64
632,43
633,56
634,20
635,47
636,114
637,68
638,56
639,74
640,25
641,14
642,16
643,30
644,20
645,52
646,54
647,73
648,17
649,162
650,54
651,43
652,25
653,39
654,134
655,149
656,39
657,307
658,56
659,114
660,28
661,35
662,141
663,81
664,35
665,61
666,25
667,16
668,32
669,248
670,35
671,17
672,43
673,25
674,30
675,35
676,48
677,43
678,25
679,73
680,114
681,148
682,28
683,56
684,74
685,25
686,64
687,39
688,74
689,22
690,96
691,20
692,14
693,28
694,47
695,77
696,332
697,20
698,43
699,34
700,39
701,17
702,25
703,43
704,39
705,43
706,300
707,28
708,39
709,16
710,61
711,32
712,56
713,227
714,60
715,61
716,81
717,25
718,107
719,14
720,383
721,134
722,64
723,64
724,71
725,61
726,998
727,52
728,48
729,114
730,22
731,69
732,60
733,71
734,56
735,43
736,32
737,35
738,78
739,74
740,38
741,30
742,11
743,32
744,28
745,325
746,47
747,392
748,43
749,472
750,32
751,47
752,43
753,52
754,30
755,81
756,86
757,64
758,39
759,16
760,17
761,35
762,14
763,34
764,52
765,52
766,35
767,61
768,255
769,25
770,38
771,56
772,43
773,11
774,64
775,43
776,56
777,28
778,14
779,16
780,43
781,39
782,34
783,17
784,86
785,16
786,32
787,141
788,17
789,107
790,43
791,17
792,25
793,68
794,34
795,81
796,149
797,34
798,68
799,43
800,28
801,39
802,60
803,22
804,56
805,39
806,25
807,25
808,255
809,30
810,35
811,28
812,28
813,28
814,14
815,25
816,107
817,38
818,100
819,17
820,32
821,68
822,353
823,35
824,54
825,64
826,64
827,52
828,35
829,54
830,12
831,25
832,61
833,30
834,38
835,52
836,34
837,81
838,52
839,148
840,101
841,176
842,25
843,78
844,534
845,32
846,43
847,39
848,332
849,39
850,17
851,32
852,39
853,32
854,127
855,47
